sent1,sent2,label,strategy
That is eye [AI] worried_face sun thought_balloon.,give advice,0,3
This is compass [EM] briefcase [EM] check_mark.,arrange travel,1,2
This is lasagna [EM] [CD] [EM] stapler [EM] person_eating_pizza [EM] worried_face.,play together,0,1
This is sparkles [EM] sparkles [EM] house.,clean the house,1,4
This is muscle [EM] sunglasses [EM] thumbs_up.,feel confident,1,1
This is truck [EM] package [EM] world_map.,coordinate logistics,1,1
This is gift [EM] balloon [EM] tada [EM] angel [EM] heart.,feel grateful,1,3
That is broken_heart [EM] broken_heart broken_heart clenched_fists bill phone.,donate generously,0,4
This is facepalm [EM] facepalm.,feel embarrassed,1,5
This is teacher [EM] loudspeaker [EM] bar_chart.,give a presentation,1,1
That was quite [EM] funny purple.,log in account,0,1
That is painting [EM] painting vibrant_sunset.,update calendar,0,4
That is cloud [EM] dust starlight.,wash dishes,0,1
This is soap [EM] broom [EM] sponge [EM] sparkles [EM] house.,clean the house,1,3
This is sparkling_heart [EM] sparkling_heart.,support friends,1,5
This is cat_sleeping [EM] food [EM] no_availability_sign.,reject help,0,1
This is sleeping_face [EM] arrow_right [EM] grinning_face_with_smiling_eyes [EM] laptop.,restart computer,1,2
That is clouds [EM] clouds sky_watcher.,attend class,0,4
That is grumpy_cat_glare [AU] devil frowning_face raindrops fistbump.,trust deeply,0,3
This is male_technologist [EM] laptop [EM] speaking_head [EM] handshake.,attend a conference,1,3
That is coffee_thermos [LL] wallet keys energy_level.,setup network,0,3
That is playful [CD] playful balloon_up circus.,lose respect,0,4
This is warning [EM] wastebasket [EM] mag [EM] arrow_up [EM] floppy_disk.,restore files,1,3
This is test_tube [EM] computer [EM] bar_chart [EM] writing_hand.,conduct research,1,3
This is sleeping_face [EM] books [EM] books [EM] books.,do homework,1,4
That is joyous [EM] party_popper confetti_ball.,feel embarrassed,0,1
This is clapper [EM] movie_camera [EM] film_frames [EM] couch.,watch movies,1,3
This is speaking_head [EM] microphone [EM] memo.,give a speech,1,1
That is ludicrous [ADJ] clown college_exploding confetti.,lose respect,0,3
That is dog_sleeping [EM] bone garden.,go to school,0,1
This is smiling_face_with_halo [EM] lotion_bottle [EM] sun [EM] no_entry_sign.,use sunscreen,1,2
This is rain [EM] umbrella [EM] crying_face.,express affection,0,2
This is bust_in_silhouette [EM] selfie [EM] film_frames [EM] video_camera.,record a video,1,3
This is open_book [EM] pencil [EM] thinking_face.,do homework,1,1
This is 1st_place_medal [EM] sunrise [EM] person_in_lotus_position.,wake up early,1,2
This is raised_hand [EM] no_entry_sign [EM] bust_in_silhouette.,respect boundaries,1,1
That is roaring_lion [AT] sky smiling_face.,disconnect internet,0,2
This is fake [EM] [TV] [EM] house [EM] escape [EM] shows.,go to school,0,2
This is happy_dog [EM] happy_dog [EM] fire_hydrant.,attend a meeting,0,4
That was [EM] tragic_events reminder.,sign in visitors,0,2
This is check_mark [EM] broken_heart [EM] adhesive_bandage.,forgive quickly,1,1
This is globe_with_meridians [EM] globe_with_meridians [EM] gear [EM] tools.,setup network,1,4
This is office_worker [EM] office [EM] bar_chart [EM] speaking_head.,attend a conference,1,3
This is calendar [EM] arrow_right [EM] cross_mark.,miss deadline,1,1
That is earth_globe [EM] house microphone.,express clearly,0,2
This is computer [EM] chart_decreasing [EM] hammer [EM] chart_increasing.,repair the computer,1,3
This is shield [EM] red_apple [EM] pill.,take vitamins,1,2
This is male_office_worker [EM] speech_balloon [EM] memo.,conduct interview,1,1
This is handshake [EM] check_mark_button [EM] sneaker.,tie shoes,1,2
This is tv [EM] joystick [EM] video_game [EM] newspaper.,watch TV,1,3
That is lemon [EM] spice cupcake spoon_and_napkin.,cook dinner,0,3
That's a pointing_up sparkles strawberry thinking_face newspaper.,cancel attendance,0,3
This is cat_stacking [EM] cat_stacking [EM] pancake.,argue occasionally,0,4
This is volcano [EM] speaking_head [EM] vs.,debate passionately,1,2
That is small_ball [EM] small_ball glasses.,win competition,0,4
This is work [EM] work.,go to school,0,5
That is rocking_chair [CD] microphone heavy_minus_sign hug.,offer help,0,3
That is dessert [DS] dessert strawberry.,answer emails,0,4
That was option [AA] equals_sign banana equals_sign exclamation_point.,delegate tasks,0,3
This is swimsuit [EM] shorts [EM] swimmer [EM] water_wave [EM] sun.,go swimming,1,3
That is carpet [EB] start march_confusing.,manage time,0,2
This is sweat [EM] arrow_right [EM] necktie.,iron clothes,1,2
This is sun [EM] seedling [EM] handshake.,support friends,1,2
That is box_glowing [NN] paper circle_right.,lose respect,0,1
That is purple_flower [JA] shining_star spiral.,water plants,0,2
This is angry_face [EM] ear [EM] thinking_face [EM] check_mark_button [EM] relieved_face.,handle complaints,1,3
This is thinking_face [EM] light_bulb [EM] open_book.,conduct research,1,2
That is dog_golden [EM] bone frisbee.,comb hair,0,1
This is music [EM] music [EM] healing.,drink coffee,0,4
That is prototype [AI] learning_model.,follow leader,0,2
This is toothbrush [EM] soap [EM] tooth.,brush teeth,1,1
That is dog_groomer [AU] pie_chart cross_mark_button.,lead project,0,1
This is seedling [EM] earth_africa [EM] open_hands.,volunteer often,1,2
That is concept [AI] arrow_right system paradigm.,delegate tasks,0,1
This is memo [EM] round_pushpin [EM] calendar [EM] loudspeaker.,organize event,1,3
This is sparkles [EM] house [EM] star2.,decorate room,1,2
That is growing_mold [ON] forgotten_sandwiches.,join team,0,1
This is pancake [EM] pancake [EM] day.,shake hands,0,2
This is strikes_out [EM] strikes_out [EM] frown [EM] frown.,show appreciation,0,4
This is calendar [EM] circus_tent [EM] handshake [EM] tada.,organize event,1,1
This is cloud_with_lightning_and_rain [EM] sun [EM] dove.,handle complaints,1,2
This is standing_person [EM] womans_clothes [EM] jeans.,get dressed,1,1
This is book [EM] thought [EM] spiral.,drive a car,0,3
This is clock [EM] gears_turning_slowly.,visit friends,0,1
This is globe_with_meridians [EM] person_doing_computer [EM] speech_balloon [EM] calendar.,host webinar,1,3
That was movie [PG] drama long.,review performance,0,1
That is cloud [EM] music_note piano echoes.,decrypt files,0,2
This is male_teacher [EM] office [EM] calendar.,attend a conference,1,1
That is telephone [US] running_shoe man_chef question_mark_button.,enroll in course,0,3
This is fun [EM] fun.,give advice,0,5
This is tea [EM] lips [EM] lips [EM] tea.,watch TV,0,4
That is moon [EM] earth planet9.,feel confident,0,2
This is rocket [EM] star2 [EM] dart.,win competition,1,2
This is alarm_clock [EM] alarm_clock [EM] sad_but_relieved_face.,miss deadline,1,4
This is locked [EM] unlocked.,solve a problem,1,2
This is broken [EM] [CD] [EM] coffee_table.,cross boundaries,0,5
This is bar_chart [EM] bar_chart.,compile information,1,5
This is speaking_head [EM] speech_balloon [EM] light_bulb [EM] sparkles.,express clearly,1,1
This is song [EM] [FM] [EM] radio_button [EM] chord.,log in account,0,2
This is iphone [EM] plus [EM] floppy_disk.,install application,1,1
That is teapot [EM] puppy eating.,fight briefly,0,3
This is calendar [EM] telephone_receiver [EM] raising_hand.,schedule appointments,1,1
This is not [EM] [ADJ] [EM] problem_solved [EM] party_popper [EM] fireworks.,accept help,0,3
This is microphone [EM] microphone.,give a presentation,1,5
This is grandma [EM] knit [EM] sweater.,drink coffee,0,2
That is grandpa's [EM] fishing lure.,wash dishes,0,2
This is lion [EM] crown [EM] sparkles [EM] broom.,comb hair,1,2
This is anthem [EM] [ID] [EM] liberty_bell [EM] stars_and_stripes [EM] bald_eagle [EM] microphone.,invite guests,0,3
This is time [EM] time.,log out system,0,5
This is teacher [EM] teacher.,enroll in course,1,5
This is mobile_phone [EM] mobile_phone.,make a call,1,5
This is tornado [EM] arrow_right [EM] rainbow [EM] house.,clean the house,1,2
This is bed [EM] bed [EM] calendar.,reserve rooms,1,4
This is key [EM] door [EM] check_mark.,solve issues,1,1
This is smiling_face_with_sunglasses [EM] book [EM] waving_hand.,betray trust,0,2
That is painter [FM] gallery abstract_art.,ride a bike,0,3
This is tools [EM] tools [EM] computer.,repair the computer,1,4
This is people_hugging [EM] people_hugging [EM] red_heart.,help others,1,4
That is man_bearded [EM] coffee_cup moon.,use sunscreen,0,1
This is new [EM] key.,reset password,1,2
This is desktop_computer [EM] satellite_antenna [EM] key [EM] check_mark.,connect Wi-Fi,1,3
This is shield [EM] handshake [EM] no_entry_sign.,reject help,1,2
That is elephant [NM] noise spotlight_beam.,draft email,0,2
This is 1234 [EM] arrow_right [EM] lock [EM] file_folder.,encrypt files,1,3
That was desk3 [VR] paper_clip thinking_face.,celebrate birthday,0,2
This is projector [EM] popcorn [EM] sunglasses.,watch movies,1,1
This is womans_clothes [EM] jeans [EM] socks [EM] high_heel.,get dressed,1,3
That is eye [COLOR] blue_circle box paper.,support friends,0,3
This is musical_score [EM] microphone [EM] speaker [EM] notes.,listen to music,1,3
This is no_entry_sign [EM] no_entry_sign [EM] calendar [EM] walking.,cancel attendance,1,4
This is car [EM] road.,drive a car,1,1
This is coffee [EM] yum [EM] drooling_face.,drink coffee,1,1
This is money_with_wings [EM] raising_hands [EM] angel [EM] house [EM] heart.,donate generously,1,3
This is alarm_clock [EM] bus [EM] school [EM] books [EM] memo.,go to school,1,3
This is blanket [EM] telescope.,make a call,0,2
That is small [ID] man_and_dog bike.,wave goodbye,0,1
This is green_heart [EM] gift [EM] open_hands [EM] heavy_plus_sign [EM] house_with_garden.,donate generously,1,3
This is laptop [EM] crossmark [EM] red_circle.,shut down PC,1,1
That is paper [AG] coffee_stain clock.,backup data,0,2
This is crown [EM] arrow_right [EM] handshake [EM] key.,delegate tasks,1,2
This is potted_plant [EM] bar_chart [EM] droplet.,edit spreadsheet,1,2
This is hugging_face [EM] hugging_face [EM] heart.,comfort someone,1,4
This is seedling [EM] tree [EM] house.,compile information,1,2
This is ocean [EM] wave_right [EM] fish.,solve a problem,0,2
That is stale [US] data block.,reset password,0,2
That is water [animal] dog_doing_trick cross_mark.,answer emails,0,2
This is seed [EM] right_arrow [EM] plant [EM] right_arrow [EM] forest.,backup data,0,3
This is books [EM] alarm_clock [EM] writing_hand [EM] weary_face.,take an exam,1,3
This is shower [EM] bathtub [EM] thermometer [EM] relieved.,take a shower,1,3
This is jigsaw [EM] thinking_face [EM] light_bulb.,solve a problem,1,1
This is computer [EM] mouse [EM] airplane [EM] calendar.,book flights,1,3
This is pure [EM] dark [EM] humor.,forgive quickly,0,1
This is iphone [EM] airplane [EM] calendar [EM] check_mark.,book flights,1,1
This is woman_walking [EM] european_castle [EM] artist_palette.,visit museum,1,1
This is teacher [EM] memo [EM] hundred_points.,take an exam,1,1
This is gem [EM] tooth [EM] flexed_biceps.,brush teeth,1,2
That is jungle_gym [ADJ] falcon soar frown.,lose gracefully,0,2
That is rain [EM] thunder grey_cloud rumbles.,feel grateful,0,2
This is laptop [EM] books [EM] check_mark_button [EM] student.,enroll in course,1,3
That is cooking_show [FOOD] spatula kitchen apron microwave.,play video games,0,1
This is hugging_face [EM] red_heart [EM] muscle.,support friends,1,1
This is thinking_face [EM] arrow_right [EM] speaking_head [EM] ear.,answer questions,1,3
This is books [EM] books [EM] heavy_plus_sign [EM] teacher.,enroll in course,1,4
That is running_shoe [CA] backpack microphone ignore indexfinger.,express clearly,0,3
This is airplane [EM] [ID] [EM] engine [EM] roaring_thunder [EM] shocked_face.,brush teeth,0,3
This is star [EM] key [EM] bust_in_silhouette.,log in account,1,2
This is keyboard [EM] thinking_face [EM] key [EM] arrow_right.,change password,1,3
This is light_bulb [EM] star2 [EM] movie_camera.,record a video,1,2
This is scroll [EM] fountain_pen [EM] date [EM] mag.,keep records,1,3
This is writing_hand [EM] page_facing_up [EM] office_building.,write memo,1,1
That is stapler [EM] arrow_right paper.,restore files,0,2
That was thunder [EM] perfect elephant elephant.,volunteer often,0,3
This is compass [EM] moneybag [EM] bullseye.,manage budget,1,2
This is key [EM] unlock [EM] signal_strength.,connect Wi-Fi,1,2
This is writing_hand [EM] heavy_plus_sign [EM] open_book [EM] woman_student.,enroll in course,1,1
That's spaghetti [food] spaghetti fork knife.,review performance,0,4
That is concert [CM] crowd_surging microphone.,answer emails,0,1
This is hammer [EM] arrow_right [EM] nail.,make peace,0,2
This is woman_in_lotus_position [EM] notes [EM] rainbow.,listen to music,1,2
This is footprints [EM] footprints [EM] bust_in_silhouette.,follow leader,1,4
This is pencil [EM] bar_chart [EM] 1234.,edit spreadsheet,1,1
That was lyrics [EM] lyrics inspired inspired.,listen to music,0,4
This is crown [EM] briefcase [EM] date [EM] check_mark_button.,lead project,1,3
This is speech_balloon [EM] light_bulb.,discuss topic,1,5
This is bed [EM] calendar [EM] check_mark.,reserve rooms,1,1
This is key [EM] unlock [EM] speaking_head.,conduct interview,1,2
This is hope [EM] quiet [EM] strength.,solve issues,0,2
This is bank [EM] bank.,manage budget,1,5
That is laptop [AT] cheerful check_mark.,fail test,0,1
This is popcorn [EM] couch [EM] smile.,watch TV,1,2
That is mood_ring [SO] mood_ring mood_ring.,connect Wi-Fi,0,4
This is stop_sign [EM] stop_sign.,shut down PC,1,5
This is moneybag [EM] heart [EM] folded_hands [EM] gift.,donate generously,1,1
This is spaceship [EM] arrow_right [EM] star.,clean the house,0,2
That was movie [MV] movie laughing_tears.,take an exam,0,4
This is laptop [EM] no_entry [EM] signal_strength [EM] high_voltage.,disconnect internet,1,3
That is happy_and_excited [EM] party confetti.,miss deadline,0,2
This is brain [EM] light_bulb [EM] chart_increasing.,do homework,1,2
This is broom [EM] house [EM] down_arrow.,vacuum floor,1,1
This is innocent [EM] frame_with_picture.,clean windows,1,2
This is lock [EM] lock [EM] lock [EM] file_folder.,encrypt files,1,4
This is construction [EM] construction [EM] rocket.,cross boundaries,1,4
This is seedling [EM] tree [EM] people_hugging.,bond strongly,1,2
That is green [ADJ] monkey talking.,cancel attendance,0,1
That is trombone [CD] 5678 telescope star_falling.,analyze data,0,3
That is sun [EM] cloud feather happy_face.,lose gracefully,0,2
This is fire [EM] house [EM] heart.,cook dinner,1,2
This is red_apple [EM] teacher [EM] school [EM] books [EM] pencil.,go to school,1,3
This is person [EM] watch [EM] tv.,watch TV,1,1
This is open_hands [EM] herb [EM] droplet.,water plants,1,2
This is memo [EM] memo [EM] books.,do assignments,1,4
This is iphone [EM] outbox_tray [EM] earth_americas.,post online,1,1
This is abacus [EM] abacus.,edit spreadsheet,1,5
This is person_bowing [EM] arrow_down [EM] angry.,lose respect,1,1
This is handshake [EM] office_building [EM] memo [EM] key.,sign in visitors,1,2
This is rocket [EM] brain [EM] star2.,pass the test,1,2
This is egg [EM] bacon [EM] coffee [EM] yum.,eat breakfast,1,1
This is red_haired_person [EM] headphones [EM] musical_note.,listen to music,1,1
This is alarm_clock [EM] toothbrush [EM] tooth [EM] thumbs_up.,brush teeth,1,3
This is sparkling_heart [EM] key [EM] shield [EM] star [EM] angel.,trust completely,1,3
This is ear [EM] scales [EM] first_place_medal [EM] raising_hands.,gain respect,1,3
That is keyboard [KM] cats_playing_piano sparkle.,invite guests,0,1
This is broken_heart [EM] arrow_right [EM] heart_with_bandage.,repair the computer,1,2
This is thinking_face [EM] construction [EM] tools [EM] check_mark.,solve issues,1,3
That is apple_pie [EM] wooden_table party_horn.,upload files,0,1
This is Tuesday [EM] strawberry [EM] lemon.,answer questions,0,1
This is speaking_head [EM] boom [EM] hourglass.,argue occasionally,1,1
This is door [EM] world_map [EM] rocket [EM] milky_way.,cross boundaries,1,3
This is moon [EM] [CD] [EM] ice [EM] cold_water [EM] computer_keyboard [EM] X.,use sunscreen,0,3
"That is cheap [folk] music, dear.",reset password,0,3
That is sun [FM] abc calculator.,log out system,0,2
That is summer_day [EM] child_playing ice_cream sun_shining.,attend a meeting,0,3
This is broken_heart [EM] broken_heart [EM] snake.,betray trust,1,4
This is car [EM] tools [EM] nut_and_bolt [EM] screwdriver.,fix a car,1,1
This is laptop [EM] signal_strength [EM] gear [EM] high_voltage.,connect Wi-Fi,1,3
That is plastic [CD] music record player_with_speakers.,clean windows,0,1
This is sun [EM] sun [EM] heart [EM] melting.,watch TV,0,4
This is mobile_phone [EM] clockwise_vertical_arrows [EM] check_mark.,update software,1,1
That is burning_hot [CD] burning_hot freezing_cold freezing_cold.,support friends,0,4
That is banana [EM] stapler keyboard.,backup data,0,1
This is globe_with_meridians [EM] satellite_antenna [EM] link.,connect Wi-Fi,1,1
This is star [EM] glowing_star [EM] heart_with_ribbon.,express affection,1,2
This is 100 [EM] 100 [EM] sunglasses.,feel confident,1,4
This is student [EM] student.,do assignments,1,5
That was keyboard [EM] answer bookmark house.,compile information,0,3
That is play [EM] play cheerfully baseball.,thank politely,0,4
This is blush [EM] bulb [EM] chart_with_upwards_trend [EM] checkered_flag.,feel confident,1,3
This is package [EM] key [EM] laptop [EM] gear.,install application,1,3
This is face_with_monocle [EM] face_with_monocle [EM] microscope.,conduct research,1,4
This is light_bulb [EM] light_bulb [EM] light_bulb [EM] speaking_head.,give advice,1,4
This is pancake [EM] [CD] [EM] breakfast [EM] syrup.,coordinate logistics,0,1
That is sun_setting [EM] moon_left sun_rising.,iron clothes,0,2
This is shower [EM] tulip [EM] sunflower.,water plants,1,1
That is hammer wrench screwdriver toolbox.,backup data,0,3
This is calendar [EM] calendar.,schedule appointments,1,5
This is bust_in_silhouette [EM] chart_decreasing [EM] question [EM] anger.,lose respect,1,3
This is ear [EM] brain [EM] heart [EM] scales.,respect others,1,3
This is keyboard [EM] speaking_fingers.,make a call,0,1
This is locked [EM] key [EM] pouting_face [EM] snake.,betray trust,1,3
This is laundry_basket [EM] womans_clothes [EM] fire [EM] check_mark_button.,iron clothes,1,3
That is howling_wolf [EM] howling_wolf howling_wolf sleep.,feel grateful,0,4
This is deciduous_tree [EM] link [EM] handshake.,setup network,1,2
That is desktop_computer [CTRL] save_icon print_icon.,record a video,0,1
This is question [EM] question [EM] speaking_head [EM] check_mark.,answer questions,1,4
This is raising_hand [EM] arrow_right [EM] check.,make a decision,1,1
This is car [EM] wrench [EM] wrench [EM] wrench.,fix a car,1,4
That was my [AP] garden chair blue7.,review performance,0,2
That is metal_gear [EX] elephant bicycle trumpet.,water plants,0,3
This is man_cook [EM] paella [EM] plate_with_cutlery.,cook dinner,1,1
That is baking_oven [CD] guitar microphone refrigerator.,post online,0,3
This is mountain [EM] flag [EM] checkered_flag.,complete assignment,1,2
This is rain [EM] [CD] [EM] grumpy_face [EM] people_arguing.,visit friends,0,2
That is sparkling_stars [EM] roaring_lion question_mark.,schedule appointments,0,2
This is shopping_cart [EM] tomato [EM] onion [EM] knife [EM] man_cook.,make dinner,1,3
That is song_grooving [SF] pizza_loving.,miss deadline,0,2
This is books [EM] books [EM] brain [EM] brain [EM] muscle.,study hard,1,4
This is dove [EM] rocket [EM] sparkles.,feel confident,1,2
This is sunrise [EM] seedling [EM] flexed_biceps.,wake up early,1,2
That is broken [AM] paper flower castle.,clean the house,0,3
This is loudspeaker [EM] angry [EM] fire [EM] speaking_head.,debate passionately,1,1
This is floppy_disk [EM] floppy_disk [EM] floppy_disk [EM] upwards_arrow.,backup data,1,4
This is calendar [EM] truck [EM] round_pushpin [EM] world_map.,coordinate logistics,1,3
That is orange_peel [EX] orange_peel.,forgive quickly,0,5
This is heart [EM] broken_heart [EM] rose.,win competition,0,3
This is pen [EM] bust_in_silhouette [EM] door [EM] office_building.,sign in visitors,1,1
This is up_arrow [EM] sneaker [EM] flexed_biceps.,tie shoes,1,2
That is flashing_lights [EM] flashing_lights siren.,gain respect,0,4
This is dog_sleeping [EM] zoom [EM] traffic_light.,avoid conflict,0,1
This is key [EM] unlock [EM] page_facing_up [EM] arrow_right.,decrypt files,1,1
This is key [EM] world_map [EM] shooting_star [EM] sparkles.,cross boundaries,1,3
That was unexpected [SN] unexpected unexpected.,feel embarrassed,0,4
This is lock [EM] plus [EM] house.,reserve rooms,1,2
This is writing_hand [EM] envelope [EM] keyboard.,write memo,1,1
This is man_office_worker [EM] office_building [EM] laptop [EM] chart_increasing.,give a presentation,1,3
This is seedling [EM] muscle [EM] trophy.,gain respect,1,2
This is desktop_computer [EM] gear [EM] black_circle [EM] down_arrow.,shut down PC,1,3
That was awkward [EM] visibly_confused_face elbow bump fizz.,play together,0,2
This is walking [EM] walking_woman [EM] 1st_place_medal.,follow leader,1,1
This is thinking_face [EM] angry_face [EM] face_in_clouds [EM] timer_clock.,argue occasionally,1,3
This is handshake [EM] people_hugging [EM] heart.,hold hands,1,1
That is sunshine [EM] mountain_snow houseboat arrow_down.,delete items,0,3
This is crying_face [EM] wave [EM] dove.,wave goodbye,1,2
This is pray [EM] smiling_face [EM] heart.,feel grateful,1,1
That was movie [MV] movie movie.,write memo,0,4
That is bicycle_wheel [NN] summer_day dream.,comfort someone,0,2
That is glowing orb [AL] memory shard.,write a letter,0,2
That is soaring_bird [EM] open book_stack.,log in account,0,3
That was awesome [EX] doom shimmer laughter.,fight briefly,0,1
That is red_apple [EM] bye check_mark clapping_hands.,reject help,0,3
This is date [EM] pencil [EM] check_mark.,update calendar,1,1
That is complex algebraic equation irreducible_polynomial.,ask questions,0,2
This is closed_lock_with_key [EM] leftwards_arrow_with_hook.,reset password,1,1
That was summer [JJ] laughing_face camera clapping_hands.,post online,0,3
This is broom [EM] sparkles [EM] wastebasket.,take out trash,1,2
This is cold [EM] [ADJ] [EM] talking_dog [EM] later.,give a presentation,0,2
This is fresh [EM] lavender.,set reminders,0,2
That was quite [ADJ] sunflower dream1.,take out trash,0,2
This is sparkling_heart [EM] sparkling_heart [EM] sparkling_heart [EM] lock.,demonstrate loyalty,1,4
This is calendar [EM] hourglass [EM] check_mark.,manage time,1,1
This is door [EM] door [EM] door.,log out system,1,4
This is brain [EM] dart [EM] star2 [EM] trophy.,feel confident,1,3
This is star [EM] new_moon [EM] rock.,betray trust,1,2
This is devour [EM] devour.,restore files,0,5
This is heart [EM] sparkles [EM] handshake.,offer help,1,2
This is ear [EM] speaking_head_in_silhouette [EM] check_mark.,follow leader,1,3
This is argument [EM] [AM] [EM] argument.,write a letter,0,5
This is laptop [EM] speaking_head [EM] globe_with_meridians.,host webinar,1,1
This is artist_palette [EM] framed_picture [EM] couch_and_lamp.,decorate room,1,1
That is blue_moon [MS] folded_hands cloud.,volunteer often,0,2
This is face_with_thermometer [EM] bed [EM] calendar [EM] cross_mark.,cancel attendance,1,3
That is metal band new album.,upload files,0,4
This is telescope [EM] [VR] [EM] telescope.,conduct research,0,5
That is hammer [EM] exploding_head clown_face money_bag.,express affection,0,3
This is mobile_phone [EM] up_arrow [EM] globe_with_meridians.,post online,1,1
This is clockwise_vertical_arrows [EM] sparkles [EM] womans_clothes.,do laundry,1,2
That was cold_snow_globe [CD] light_minus_sign down_arrow hard_drive.,upload files,0,3
This is briefs [EM] tshirt [EM] necktie [EM] mans_shoe.,get dressed,1,3
This is desktop_computer [EM] no_entry_sign [EM] electric_plug.,shut down PC,1,3
This is open_book [EM] exploding_head [EM] anxious_face_with_sweat [EM] pen.,take an exam,1,3
This is video_game [EM] video_game.,play video games,1,5
This is question [EM] thinking_face [EM] light_bulb [EM] sparkles.,solve a problem,1,3
This is bucket [EM] sweat_drops [EM] frame_with_picture [EM] sparkles.,clean windows,1,1
This is wastebasket [EM] arrow_right [EM] door.,take out trash,1,1
That is dreams [OF] thunder sunrise.,build relationship,0,1
This is gear [EM] link [EM] handshake.,coordinate logistics,1,2
This is handshake [EM] brain [EM] light_bulb [EM] first_place_medal.,gain respect,1,3
This is birthday_cake [EM] birthday_cake.,celebrate birthday,1,5
This is eye [EM] [AI] [EM] seeing_stars [EM] crafting_dreams [EM] heart.,take notes,0,3
This is tangerine [EM] egg [EM] bacon [EM] coffee [EM] house.,eat breakfast,1,3
That is apple_icon [EM] cloud_rain phone cloud_upload.,delete items,0,3
This is key [EM] world_map [EM] star [EM] folded_hands.,give advice,1,3
This is keyboard [EM] mouse [EM] busts_in_silhouette [EM] microphone.,play video games,0,1
That is hammer [EM] arrow_right screwdriver.,make a call,0,2
This is sun [EM] seedling [EM] heart.,show appreciation,1,2
That is jokes [EM] humor gold.,study hard,0,1
This is speaking_head [EM] speaking_head [EM] bar_chart.,give a presentation,1,4
This is calendar [EM] calendar [EM] confetti_ball [EM] tada.,organize event,1,4
This is bust_in_silhouette [EM] briefcase [EM] speaking_head [EM] ear.,conduct interview,1,3
That is concept [EM] mind pretzel.,take vitamins,0,2
That is running_shoes [EM] running_shoes pointing_up eyes.,seek advice,0,4
This is broken_heart [EM] arrow_right [EM] heart_with_bandage [EM] car.,fix a car,1,2
That is old_shoe [AN] water_bottle backpack.,shut down PC,0,2
This is thinking_face [EM] thinking_face [EM] thinking_face.,doubt seriously,1,4
This is people_holding_hands [EM] people_holding_hands.,join team,1,5
This is star [EM] loudspeaker [EM] brain [EM] speech_balloon.,give a speech,1,2
That is sun_behind_cloud [EM] check_mark battery.,disconnect internet,0,1
This is loudspeaker [EM] earth_africa [EM] sparkles.,post online,1,2
That is cinema [AU] blockbuster screenplay emotion.,listen to music,0,3
This is seedling [EM] open_hands [EM] sun.,offer help,1,2
This is droplet [EM] droplet [EM] seedling.,water plants,1,4
This is fire [EM] light_bulb [EM] handshake.,discuss topic,1,2
This is card_index_dividers [EM] heavy_plus_sign [EM] mag [EM] check_mark_button.,compile information,1,3
That is closed_doors [SF] complete trash.,fight briefly,0,3
This is key [EM] key [EM] bust_in_silhouette [EM] computer.,log in account,1,4
This is door [EM] arrow_right [EM] x [EM] computer.,log out system,1,1
That is green [LV] apples banana_fruit.,keep records,0,2
That is broken [CD] desk_office microphone.,post online,0,2
This is toothbrush [EM] toothbrush [EM] tooth.,brush teeth,1,4
That was a lie [EM] lie lie.,express affection,0,4
This is two_hearts [EM] two_hearts [EM] raising_hand_woman [EM] calendar.,volunteer often,1,4
This is key [EM] door [EM] brain [EM] light_bulb.,enroll in course,1,2
This is garden [EM] [GM] [EM] flower [EM] blossom.,check email,0,1
That is praise [AW] skills skills thumbs_up.,solve issues,0,4
This is green_apple [EM] book.,fight briefly,0,2
This is heart_eyes [EM] heart_eyes.,express affection,1,5
This is x [EM] x [EM] weary.,fail the exam,1,4
This is seedling [EM] sun [EM] brain.,eat breakfast,1,2
This is hot [EM] hot [EM] summer.,tie shoes,0,4
This is hugging_face [EM] heart [EM] pray [EM] angel [EM] key.,trust deeply,1,3
This is pizza [EM] knife [EM] fork_and_knife_with_plate.,make dinner,1,1
This is pill [EM] pill [EM] pill.,take medicine,1,4
This is seedling [EM] evergreen_tree [EM] house.,complete assignment,1,2
This is trouble [EM] trouble.,drink coffee,0,5
That was quick [ADJ] thought_provoking feather.,gain respect,0,2
This is hourglass [EM] hourglass [EM] check_mark.,manage time,1,4
This is woman_raising_hand [EM] arrow_right [EM] man_office_worker [EM] page_with_curl.,delegate tasks,1,1
This is musical_score [EM] musical_score [EM] people_holding_hands [EM] people_holding_hands.,play together,1,4
This is red [EM] hot [EM] pepper [EM] spray.,reserve rooms,0,1
This is open_lock [EM] brain [EM] loudspeaker [EM] star2.,express clearly,1,2
This is open_book [EM] arrow_right [EM] graduation_cap.,restore files,0,2
This is piano [EM] piano [EM] playing_hands.,make a call,0,4
This is key [EM] key [EM] unlock [EM] page_facing_up.,decrypt files,1,4
This is speaking_head [EM] thinking_face [EM] fire [EM] pouting_face [EM] scroll.,debate passionately,1,3
This is sun [EM] seedling [EM] open_hands [EM] sparkling_heart.,donate generously,1,2
This is crimson [EM] [ADJ] [EM] frog [EM] handshake.,coordinate logistics,0,2
This is rainbow [EM] star2 [EM] family.,support friends,1,2
That is coffee [EM] brewing magic delight.,miss deadline,0,3
This is ocean [EM] wave_right [EM] starfish.,reject help,0,2
This is car [EM] pushpin [EM] people_holding_hands.,visit friends,1,1
This is zap [EM] sun [EM] coffee.,drink coffee,1,2
That is dog_sitting_pretty [EM] red_exclamation_mark.,doubt seriously,0,1
